,username,comment,replies
0,,,[]
2,cristianojr.7__,cristianojr.7__ and cristianojunior_______7,[]
6,,•,[]
11,cristianojr.7__,cristianojr.7__ 3dLike father like son @cristiano @cris_jnr0077 #crjunior #cristianoronaldo,[]
14,cristianojr.7__,,[]
18,yussufmuheeb,yussufmuheeb,[]
25,,Me too is a footballer plz help me,[]
26,,Reply,[]
29,aditzyy2_,aditzyy2_,[]
36,,🙁cr7 ☺️cr junior,[]
37,,3 likes,[]
40,meli_800a,meli_800a,[]
47,,Like father like son,[]
48,,2 likes,[]
51,tonyalbornoztineo,tonyalbornoztineo,[]
58,,El bichito jnr 👏👏👏,[]
62,harunturkoglu4747,harunturkoglu4747,[]
69,,❤️❤️,[]
73,muxlis__me777,muxlis__me777,[]
80,,❤️ cristiano and ❤️ cr junior😍,[]
81,,6 likes,[]
84,kadranben,kadranben,[]
91,,Stunning! Next generation kicking the boll arround the clock & finding sweet & very sexy wife!👍❤️😜😜😜,[]
95,ywsfzhy359,ywsfzhy359,[]
102,,❤️❤️🔥🔥,[]
106,moloikutloano989,moloikutloano989,[]
113,,❤️❤️❤️❤️❤️🙌🙌🙌🙌🙌,[]
117,jenybollullos,jenybollullos,[]
124,,👏👏👏👏👏👏👏💚🇪🇸,[]
128,city_fan_001,city_fan_001,[]
135,,Wow 😲😲😳😳 you look a like 👏👏,[]
139,alibabakid123,alibabakid123,[]
146,,The similarities between e'm tho,[]
150,star_yoyo_boy_047,star_yoyo_boy_047,[]
157,,🔥🔥🔥🔥🔥🔥🔥🔥😍😍😍😍,[]
161,jentra.clubs,jentra.clubs,[]
168,,🔥🔥🔥,[]
172,nonex1002,nonex1002,[]
179,,🔥🔥,[]
183,cristiano__ronaldo077777,cristiano__ronaldo077777,[]
190,,❤️❤️❤️❤️,[]
194,kalbe____mola,kalbe____mola,[]
201,,غم‌تو‌چشمای‌‌رونالدو‌موج‌میزنه‌‌‌‌,[]
205,anandu.m._k,anandu.m._k,[]
212,,😎CR7 jr,[]
216,fr4nzy_,5 likes,[]
220,fr4nzy_,,[]
223,,5 likes,[]
233,,😍😍😍,[]
237,alaffeviad,alaffeviad,[]
244,,🔥🔥🔥🔥 ahhh.....,[]
248,mariajose_aqu,mariajose_aqu,[]
259,mohammed_seid13,mohammed_seid13,[]
266,,Wow,[]
270,nana_wawajaja,nana_wawajaja,[]
277,,❤️🙏😉GOATT,[]
281,anaselg1_,anaselg1_,[]
288,,😍,[]
292,031_ph.07,5 likes,[]
296,031_ph.07,,[]
302,liw4zx,liw4zx,[]
309,,Oi junior eu te amo espero que você se torne como seu pai boa sorte e especial o que eu te enviei 💟💟,[]
310,,1 like,[]
313,laisoliveira9531,laisoliveira9531,[]
320,,Vc e a cara do seu pai,[]
324,joaco_joaco_joaco_joacoo,joaco_joaco_joaco_joacoo,[]
335,tin.6317,tin.6317,[]
342,,What I see is a different feeling on the surface. A poor child and a rich child.,[]
346,sesiliacel,sesiliacel,[]
353,,Like Father like son,[]
357,estevao.anabela,estevao.anabela,[]
364,,😍😍 fotocópia do Pai CR7,[]
368,muhammad_nura6334,muhammad_nura6334,[]
375,,Nahhh blud no need for DNA test,[]
379,hucky.com3,hucky.com3,[]
386,,Wow y'all look just alike,[]
390,1luck999,1luck999,[]
397,,The same face,[]
401,julietasofiagarciarodriguez,julietasofiagarciarodriguez,[]
408,,❤️,[]
412,mmaddorkhosh,mmaddorkhosh,[]
419,,چقدشبیع باباشه,[]
423,kamilla_iss,kamilla_iss,[]
430,,Неа нос губы брови глаза совсем другие и он смуглее сын и красавчик,[]
441,,Best pic in the world,[]
445,greg.kl08,1 like,[]
449,greg.kl08,,[]
462,,ایرانیا‌‌فالو‌کنن‌هرکی‌دید,[]
466,p/C0vhFNwA181,3 days ago,[]
473,,English,[]
